hnox_3,hnox_2,hnox_1,WT_3,WT_2,WT_1,Majority.protein.IDs,Fasta.headers,id,uniprot_id,Gene,description,,Significance_Pvalue,Fold change (hnox/WT),(-)Log t-test p value,Significance_PFDR,Fold change (hnox/WT),(-)Log t-test p value_,Score,dgc_1,dgc_2,dgc_3,Fold change(hnox/WT),,P_value,#NAME?,t-test Difference,#NAME?,t-test Difference_,gene_symbol,description,sig.FDR_dgc_vs_hnox,sig.PVal_dgc_vs_hnox,adj.P.Val_dgc_vs_hnox,P.Value_dgc_vs_hnox,B_dgc_vs_hnox,t_dgc_vs_hnox,average_intensity_dgc_vs_hnox,CI.R_dgc_vs_hnox,CI.L_dgc_vs_hnox,sig.FDR_dgc_vs_WT,logFC_dgc_vs_hnox,sig.PVal_dgc_vs_WT,adj.P.Val_dgc_vs_WT,P.Value_dgc_vs_WT,B_dgc_vs_WT,t_dgc_vs_WT,average_intensity_dgc_vs_WT,CI.R_dgc_vs_WT,CI.L_dgc_vs_WT,logFC_dgc_vs_WT,sig.PVal_hnox_vs_WT,sig.FDR_hnox_vs_WT,adj.P.Val_hnox_vs_WT,P.Value_hnox_vs_WT,B_hnox_vs_WT,t_hnox_vs_WT,average_intensity_hnox_vs_WT,CI.R_hnox_vs_WT,CI.L_hnox_vs_WT,logFC_hnox_vs_WT
18.93192,19.33994,18.91669,19.38855,19.27469,19.41632,A1B4I6,sp|A1B4I6|ACCA_PARDP Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=accA PE=3 SV=1,1272,A1B4I6,accA,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,,,-0.297005335,0.95741781,,-0.297005335,0.95741781,64.866,18.78751395,18.98362833,19.17158024,-0.297005395,0.156435294,0.156430263,0.95741781,-0.297005335,0.95741781,-0.297005335,accA,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,0,0,0.700708341,0.555961707,-7.377648008,-0.613541297,19.13453658,0.224126449,-0.388008267,0,-0.081940909,0,0.121015242,0.021111091,-3.69496583,-2.837400873,19.13453658,-0.072878946,-0.685013663,-0.378946305,0,0,0.200719915,0.055671698,-5.19116099,-2.223859576,19.13453658,0.009061963,-0.603072754,-0.297005395
19.49766,20.03406,19.73801,20.09098,19.98101,20.05013,A1B3I5,tr|A1B3I5|A1B3I5_PARDP Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=accD PE=3 SV=1,1024,A1B3I5,accD,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,,,-0.284129461,0.83172561,,-0.284129461,0.83172561,96.699,19.35601718,19.63588109,19.8399552,-0.284129819,0.204705496,0.204706501,0.83172561,-0.284129461,0.83172561,-0.284129461,accD,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,0,0,0.540918292,0.36623729,-7.099201599,-0.955699689,19.80263419,0.20404306,-0.495962361,0,-0.145959651,0,0.122767464,0.021828365,-3.728518407,-2.816095893,19.80263419,-0.08008676,-0.780092181,-0.43008947,0,0,0.280039825,0.098544081,-5.740509321,-1.860396204,19.80263419,0.065872891,-0.63413253,-0.284129819
19.05321,18.78891,18.95148,18.63782,18.65644,18.70361,A1B9S8,tr|A1B9S8|A1B9S8_PARDP Acetate kinase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=ackA PE=3 SV=1,2262,A1B9S8,ackA,Acetate kinase,,+,0.265247345,1.540020689,,0.265247345,1.540020689,82.306,18.40065252,18.60756056,18.53764999,0.265247531,0.066916571,0.066913864,1.540020689,0.265247345,1.540020689,0.265247345,ackA,Acetate kinase,0,0,0.008374697,0.000742967,-0.921966012,-5.136268619,18.70414786,-0.230980907,-0.600847149,0,-0.415914028,0,0.256461416,0.097767585,-5.193400708,-1.860633556,18.70414786,0.034266625,-0.335599617,-0.150666496,0,0,0.069565788,0.010410398,-3.502223163,3.275635063,18.70414786,0.450180653,0.08031441,0.265247531
24.74084,24.46472,24.55052,24.37885,24.68315,24.46689,A1B2X1,sp|A1B2X1|ACP_PARDP Acyl carrier protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=acpP PE=3 SV=1,870,A1B2X1,acpP,Acyl carrier protein,,,0.075728734,0.245861651,,0.075728734,0.245861651,20.486,24.66629262,24.85882708,24.58032397,0.075728651,0.568054028,0.568058488,0.245861651,0.075728734,0.245861651,0.075728734,acpP,Acyl carrier protein,0,0,0.488896564,0.318048565,-6.994070709,1.060992453,24.59893313,0.367206337,-0.134290708,0,0.116457814,0,0.282558419,0.116028352,-5.350686501,1.750920627,24.59893313,0.442934988,-0.058562057,0.192186465,0,0,0.7179174,0.50872469,-7.095552774,0.689928174,24.59893313,0.326477174,-0.175019872,0.075728651
23.05061,22.95708,22.97136,23.0163,23.10148,22.99933,A1B9T3;A1BAR9,tr|A1B9T3|A1B9T3_PARDP Acetyl-coenzyme A synthetase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=acsA PE=3 SV=1;tr|A1BAR9|A1BAR9_PARDP Acetyl-coenzyme A synthetase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=acsA PE=3 SV=1,2266,A1BAR9,acsA,Acetyl-coenzyme A synthetase,,,-0.046021779,0.463025077,,-0.046021779,0.463025077,226.44,23.12172671,23.08378401,22.91630656,-0.046021074,0.344719817,0.344720297,0.463025077,-0.046021779,0.463025077,-0.046021779,acsA,Acetyl-coenzyme A synthetase,0,0,0.656300862,0.501117622,-7.315813594,0.702655402,23.02421879,0.202273486,-0.107091512,0,0.047590987,0,0.991242831,0.982044215,-6.791926096,0.023178918,23.02421879,0.156252412,-0.153112586,0.001569913,0,0,0.720577734,0.514967642,-7.103137266,-0.679476483,23.02421879,0.108661425,-0.200703573,-0.046021074
20.71007,20.65557,20.54593,20.56467,20.63566,20.55309,A1B5X6,sp|A1B5X6|ADEC_PARDP Adenine deaminase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=ade PE=3 SV=1,1588,A1B5X6,ade,Adenine deaminase,,,0.052708944,0.408837941,,0.052708944,0.408837941,123.56,20.53259127,20.56539185,20.39474532,0.052708939,0.405314336,0.405384088,0.408837941,0.052708944,0.408837941,0.052708944,ade,Adenine deaminase,0,0,0.180678878,0.070085163,-5.648188656,-2.071811099,20.57308039,0.014285341,-0.293507004,0,-0.139610832,0,0.418995811,0.231272001,-5.954815448,-1.289615599,20.57308039,0.06699428,-0.240798066,-0.086901893,0,0,0.672616997,0.455402456,-7.024542012,0.7821955,20.57308039,0.206605111,-0.101187234,0.052708939
17.77034,17.84247,18.10643,17.83022,17.65693,17.71671,A1B4L2,sp|A1B4L2|ALDH_PARDP Aldehyde dehydrogenase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=adh PE=1 SV=1,1286,A1B4L2,adh,Aldehyde dehydrogenase,,,0.171795527,0.684861711,,0.171795527,0.684861711,51.327,17.63356829,17.72660224,17.73229315,0.171795586,0.231236959,0.23123671,0.684861711,0.171795527,0.684861711,0.171795527,adh,Aldehyde dehydrogenase,0,0,0.14785315,0.051053949,-5.339259614,-2.270745049,17.77950805,0.00120155,-0.419057622,0,-0.208928036,0,0.813424179,0.696519236,-6.703162475,-0.403575929,17.77950805,0.172997137,-0.247262036,-0.03713245,0,0,0.27587993,0.096773027,-5.728911951,1.86716912,17.77950805,0.381925173,-0.038334,0.171795586
25.15349,24.94476,24.88822,25.05137,25.00764,24.98073,A1B049,sp|A1B049|KAD_PARDP Adenylate kinase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=adk PE=3 SV=1,428,A1B049,adk,Adenylate kinase,,,-0.017755508,0.074920816,,-0.017755508,0.074920816,127.21,25.18265115,25.05869428,25.13472818,-0.017755551,0.848831368,0.848844562,0.074920816,-0.017755508,0.074920816,-0.017755508,adk,Adenylate kinase,0,0,0.261072875,0.122274266,-6.173877798,1.716622705,25.04469807,0.302643868,-0.042908918,0,0.129867475,0,0.359821067,0.174567176,-5.715750218,1.481925122,25.04469807,0.284888316,-0.060664469,0.112111924,0,0,0.918287679,0.820016566,-7.322834852,-0.234697583,25.04469807,0.155020842,-0.190531944,-0.017755551
23.0938,23.20805,22.95191,23.23977,23.13408,23.19213,A1B5H5,tr|A1B5H5|A1B5H5_PARDP Adenosylhomocysteinase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=ahcY PE=3 SV=1,1475,A1B5H5,ahcY,Adenosylhomocysteinase,,,-0.104071299,0.578582496,,-0.104071299,0.578582496,146.41,23.01108359,23.00082293,22.87648161,-0.104071206,0.295137286,0.295153337,0.578582496,-0.104071299,0.578582496,-0.104071299,ahcY,Adenosylhomocysteinase,0,0,0.290808354,0.144864444,-6.328505768,-1.605858883,23.07867884,0.051415475,-0.294992651,0,-0.121788588,0,0.10798114,0.016556691,-3.460552573,-2.978102977,23.07867884,-0.052655731,-0.399063857,-0.225859794,0,0,0.429903812,0.205217633,-6.407080231,-1.372244094,23.07867884,0.069132857,-0.277275269,-0.104071206
23.45377,23.56294,23.32378,23.62927,23.45576,23.63573,A1AZL6,sp|A1AZL6|SYA_PARDP Alanine--tRNA ligase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=alaS PE=3 SV=1,289,A1AZL6,alaS,Alanine--tRNA ligase,,,-0.126755397,0.628179379,,-0.126755397,0.628179379,323.31,23.25716906,23.2984877,23.28696909,-0.126755383,0.237080115,0.237086688,0.628179379,-0.126755397,0.628179379,-0.126755397,alaS,Alanine--tRNA ligase,0,0,0.163425196,0.059162117,-5.483720758,-2.178357525,23.43376315,0.008033255,-0.339941461,0,-0.165954103,0,0.055982965,0.00442627,-2.114965799,-3.842182272,23.43376315,-0.118722128,-0.466696844,-0.292709486,0,0,0.328567143,0.132605845,-6.020560666,-1.663824747,23.43376315,0.047231975,-0.300742741,-0.126755383
15.16927,15.2611,14.86595,15.44313,15.41305,15.33628,A1AZ24,tr|A1AZ24|A1AZ24_PARDP AMP nucleosidase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=amn PE=3 SV=1,164,A1AZ24,amn,AMP nucleosidase,,,-0.298717817,1.136975324,,-0.298717817,1.136975324,17.783,15.34204255,15.19580357,15.11667154,-0.298717519,0.121231693,0.121231559,1.136975324,-0.298717817,1.136975324,-0.298717817,amn,AMP nucleosidase,0,0,0.459135601,0.288154217,-6.916736869,1.133256775,15.23814431,0.36002515,-0.121222888,0,0.119401131,0,0.296932183,0.125073673,-5.419393824,-1.70192283,15.23814431,0.061307632,-0.419940407,-0.179316388,0,0,0.104674282,0.020748354,-4.211465476,-2.835179605,15.23814431,-0.0580935,-0.539341538,-0.298717519
20.99379,20.89634,20.97437,21.0308,20.99098,20.98454,A1B843,sp|A1B843|APT_PARDP Adenine phosphoribosyltransferase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=apt PE=3 SV=1,1909,A1B843,apt,Adenine phosphoribosyltransferase,,,-0.047271093,0.644866321,,-0.047271093,0.644866321,66.51,21.06361679,21.11028696,21.16687925,-0.047271345,0.251762048,0.251786121,0.644866321,-0.047271093,0.644866321,-0.047271093,apt,Adenine phosphoribosyltransferase,0,0,0.06605002,0.015645206,-4.145144835,3.014127779,21.0235103,0.279055454,0.038467989,0,0.158761722,0,0.203141906,0.065265664,-4.812576417,2.116670434,21.0235103,0.231784109,-0.008803355,0.111490377,0,0,0.624788286,0.394261354,-6.925101267,-0.897457345,21.0235103,0.073022388,-0.167565077,-0.047271345
21.73267,22.08576,21.89667,21.93231,21.98219,21.93121,A1B0E7,sp|A1B0E7|ARGB_PARDP Acetylglutamate kinase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=argB PE=3 SV=1,490,A1B0E7,argB,Acetylglutamate kinase,,,-0.043540319,0.157825618,,-0.043540319,0.157825618,149.37,21.76976478,21.86476902,21.85107554,-0.043540613,0.712752779,0.712726506,0.157825618,-0.043540319,0.157825618,-0.043540319,argB,Acetylglutamate kinase,0,0,0.569764311,0.395281922,-7.156247562,-0.895433953,21.89404578,0.118603469,-0.271590868,0,-0.076493699,0,0.387124768,0.195574168,-5.813701993,-1.405119637,21.89404578,0.075062856,-0.315131482,-0.120034313,0,0,0.796420063,0.623280625,-7.210948783,-0.509685684,21.89404578,0.151556555,-0.238637782,-0.043540613
21.22945,21.158,21.22948,21.1875,21.27343,21.34077,A1B2K9,sp|A1B2K9|ARGC_PARDP N-acetyl-gamma-glutamyl-phosphate reductase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=argC PE=3 SV=1,800,A1B2K9,argC,N-acetyl-gamma-glutamyl-phosphate reductase,,,-0.06159083,0.540107583,,-0.06159083,0.540107583,109.83,21.07701678,21.07497444,20.94365661,-0.061590081,0.306852453,0.306848711,0.540107583,-0.06159083,0.540107583,-0.06159083,argC,N-acetyl-gamma-glutamyl-phosphate reductase,0,0,0.086411924,0.023222804,-4.549695885,-2.764162782,21.16825279,-0.030196205,-0.317324259,0,-0.173760232,0,0.059954477,0.005118608,-2.264348519,-3.74393248,21.16825279,-0.091786286,-0.378914341,-0.235350313,0,0,0.591087178,0.354345134,-6.847218269,-0.979769698,21.16825279,0.081973946,-0.205154108,-0.061590081
23.96385,23.90297,23.83916,23.80265,23.84809,23.82035,A1B3N9,tr|A1B3N9|A1B3N9_PARDP Acetylornithine aminotransferase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=argD PE=3 SV=1,1065,A1B3N9,argD,Acetylornithine aminotransferase,,,0.078291575,0.955633003,,0.078291575,0.955633003,233.71,23.90289279,23.92782881,23.78890957,0.078290776,0.150587239,0.150605026,0.955633003,0.078291575,0.955633003,0.078291575,argD,Acetylornithine aminotransferase,0,0,0.758902607,0.633827344,-7.449199455,-0.494046193,23.86630066,0.104262814,-0.161824393,0,-0.028780789,0,0.595371867,0.418758674,-6.40972412,0.84988012,23.86630066,0.18255359,-0.083533617,0.049509987,0,0,0.439443452,0.21384943,-6.442217398,1.343926313,23.86630066,0.211334379,-0.054752828,0.078290776
21.97499,22.14033,22.02992,22.12693,22.07087,22.03724,A1B3N7,sp|A1B3N7|OTC_PARDP Ornithine carbamoyltransferase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=argF PE=3 SV=1,1063,A1B3N7,argF,Ornithine carbamoyltransferase,,,-0.029933294,0.210081581,,-0.029933294,0.210081581,83.464,22.10384022,22.04914608,21.97072765,-0.029932093,0.624590736,0.624602815,0.210081581,-0.029933294,0.210081581,-0.029933294,argF,Ornithine carbamoyltransferase,0,0,0.951309634,0.912113135,-7.576165053,-0.113714077,22.05599768,0.136897038,-0.151244019,0,-0.00717349,0,0.724494018,0.571742496,-6.605049645,-0.588197224,22.05599768,0.106964946,-0.181176112,-0.037105583,0,0,0.811642667,0.647144932,-7.229699326,-0.474483147,22.05599768,0.114138436,-0.174002622,-0.029932093
22.83301,22.94938,22.69975,23.0379,22.8762,23.00705,A1AZB7,sp|A1AZB7|ASSY_PARDP Argininosuccinate synthase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=argG PE=3 SV=1,214,A1AZB7,argG,Argininosuccinate synthase,,,-0.14633433,0.770084874,,-0.14633433,0.770084874,146.93,22.74880752,22.76583338,22.49733091,-0.146333817,0.178877607,0.178885267,0.770084874,-0.14633433,0.770084874,-0.14633433,argG,Argininosuccinate synthase,0,0,0.278216826,0.135184048,-6.265789031,-1.65123909,22.8239178,0.060038582,-0.373486349,0,-0.156723883,0,0.096006219,0.011831501,-3.120554829,-3.193008693,22.8239178,-0.086295235,-0.519820166,-0.3030577,0,0,0.365823217,0.159605432,-6.187475086,-1.541769603,22.8239178,0.070428648,-0.363096283,-0.146333817
20.88424,20.86567,20.65559,20.93732,20.91136,20.92566,A1B3M0,sp|A1B3M0|ARLY_PARDP Argininosuccinate lyase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=argH PE=3 SV=1,1051,A1B3M0,argH,Argininosuccinate lyase,,,-0.12294515,0.767995065,,-0.12294515,0.767995065,136.1,20.66894053,20.70118879,20.53921302,-0.122945912,0.234670399,0.234672436,0.767995065,-0.12294515,0.767995065,-0.12294515,argH,Argininosuccinate lyase,0,0,0.156853788,0.055486882,-5.421014067,-2.218583413,20.78768928,0.004862042,-0.335641639,0,-0.165389798,0,0.055474747,0.004262536,-2.076189068,-3.867813068,20.78768928,-0.118083869,-0.45858755,-0.28833571,0,0,0.331794856,0.135599902,-6.040869957,-1.649229654,20.78768928,0.047305929,-0.293197752,-0.122945912
